"hash_type","hash","rows","labels","sources","notes","sample_ids","sample_method","sample_path","sample_query"
"endpoint_shape_hash","fceb43b2b393abbe2c9c4f52","105","0|1","csic_2010","csic_anomalous|csic_crlf|csic_normal|csic_sqli|csic_traversal","pos_csic_000341|norm_csic_000354|norm_csic_001383|norm_csic_001263|pos_csic_002868|pos_csic_002100|norm_csic_002572|norm_csic_002327|pos_csic_001461|norm_csic_001586","GET","/tienda1/miembros/editar.jsp","modo=registro&login=marjan&password=ce16esi4a9&nombre=Rene%E9&apellidos=Pi%F1ol+Monguzzi&email=clapham.gravey%40juguetespersonales.ye&dni=79234827B&direccion=Merce%2C+182+&ciudad=Villagarc%EDa+de+Campos&cp=34305&provincia=Alicante&ntc=780906401924818&B1=Registrar"
"endpoint_shape_hash","c4854d504c31c153d1e0cea7","103","0|1","csic_2010","csic_anomalous|csic_crlf|csic_normal|csic_sqli|csic_xss","norm_csic_000518|norm_csic_000195|norm_csic_000583|pos_csic_002397|norm_csic_000304|norm_csic_000160|norm_csic_002711|norm_csic_002524|norm_csic_000872|norm_csic_000303","GET","/tienda1/publico/vaciar.jsp","B2=Vaciar+carrito"
"endpoint_shape_hash","7bd29905dc99b11223629b07","99","0|1","csic_2010","csic_anomalous|csic_crlf|csic_normal|csic_sqli|csic_xss","norm_csic_001678|norm_csic_001675|pos_csic_001260|norm_csic_000930|norm_csic_001303|norm_csic_002270|norm_csic_000967|norm_csic_002093|norm_csic_001397|pos_csic_002467","GET","/tienda1/publico/caracteristicas.jsp","id=2"
"endpoint_shape_hash","ad5a6000f5e8069538a853fb","98","0|1","csic_2010","csic_anomalous|csic_crlf|csic_normal|csic_xss","norm_csic_001579|norm_csic_000654|norm_csic_001163|pos_csic_001460|norm_csic_001509|norm_csic_000764|norm_csic_001455|norm_csic_001422|norm_csic_000360|norm_csic_000791","GET","/tienda1/publico/registro.jsp","modo=registro&login=marg&password=77603O8adA&nombre=Brayam&apellidos=Cheres+Ochoa&email=salvilla%40mtos.pr&dni=02124892Z&direccion=Petxina%2C+77%2C+2B&ciudad=Vallanca&cp=34475&provincia=Valencia&ntc=6113595872626667&B1=Registrar"
"endpoint_shape_hash","b4bff3f72f4f437bb0e97442","15","0|1","csic_2010|openappsec_legitimate|owasp_modsecurity","csic_anomalous|normal|owasp_xss:913100","pos_csic_001571|norm_legitimate_002300|norm_legitimate_001666|norm_legitimate_000090|norm_legitimate_002429|norm_legitimate_002825|norm_legitimate_000001|norm_legitimate_002709|norm_legitimate_000325|pos_csic_002500","GET","/",""
"payload_family_hash","c7606de808ec010b8b66c149","182","0|1","csic_2010","csic_anomalous|csic_normal","norm_csic_001678|norm_csic_001675|norm_csic_000930|norm_csic_002320|norm_csic_002379|norm_csic_001783|norm_csic_001303|norm_csic_002270|norm_csic_001174|norm_csic_000338","GET","/tienda1/publico/caracteristicas.jsp","id=2"
"payload_family_hash","084203dfcf95096ca9fd53ce","175","0|1","csic_2010","csic_anomalous|csic_normal","norm_csic_001013|norm_csic_000320|norm_csic_000183|norm_csic_001674|norm_csic_000009|norm_csic_001731|norm_csic_001666|norm_csic_000343|norm_csic_001498|norm_csic_000052","GET","/tienda1/publico/entrar.jsp","errorMsg=Credenciales+incorrectas"
"payload_family_hash","6c3bbc92679ce99b94efebd5","170","0|1","csic_2010","csic_anomalous|csic_normal","norm_csic_000518|norm_csic_000581|norm_csic_001955|norm_csic_000195|norm_csic_000583|norm_csic_000304|norm_csic_000160|norm_csic_001971|norm_csic_002711|norm_csic_000257","GET","/tienda1/publico/vaciar.jsp","B2=Vaciar+carrito"
"payload_family_hash","93b73df8ece59ab634a6b511","65","0|1","csic_2010","csic_anomalous|csic_normal","norm_csic_001742|norm_csic_000834|norm_csic_001151|norm_csic_000954|norm_csic_002635|norm_csic_000287|norm_csic_000492|norm_csic_000117|norm_csic_002795|norm_csic_001330","GET","/tienda1/publico/anadir.jsp","id=3&nombre=Vino+Rioja&precio=100&cantidad=61&B1=A%F1adir+al+carrito"
"payload_family_hash","b8962b2272eda3de714a3e3d","16","0|1","csic_2010|openappsec_legitimate|owasp_modsecurity","csic_anomalous|normal|owasp_xss:913100|owasp_xss:933110","pos_csic_001571|norm_legitimate_002300|norm_legitimate_001666|norm_legitimate_000090|norm_legitimate_002429|norm_legitimate_002825|norm_legitimate_000001|norm_legitimate_002709|norm_legitimate_000325|pos_csic_002500","GET","/",""
