"id","label","source","notes","method_get","method_post","method_put","method_patch","method_delete","path_depth","has_query","num_params","duplicate_param_count","max_duplicate_param_name_count","has_body","body_length_bucket","has_api_path","has_admin_path","has_internal_path","has_debug_path","has_document_path","has_user_path","has_payment_path","has_upload_path","has_id_param","has_url_param","has_file_param","has_business_param","has_search_param","has_numeric_value","has_uuid_value","has_url_value","has_private_ip_value","has_base64_like_value","has_encoded_value","has_special_chars","has_double_encoded_value","decoded_changes_value","raw_encoded_ratio","has_html_entity_value","has_unicode_normalized_change","has_recursive_decoded_traversal","has_recursive_decoded_sqli","has_recursive_decoded_xss","has_recursive_decoded_private_ip","has_recursive_decoded_url","has_authorization_header","has_cookie_header","has_content_type_json","has_content_type_form","has_content_type_xml","has_tenant_header","has_origin_header","has_referer_header","has_x_forwarded_for","has_json_body","has_xml_body","has_form_body","body_has_role","body_has_admin_value","body_has_id_field","body_has_url_field","body_has_file_field","body_has_price_field","has_admin_and_url","has_document_and_id","has_tenant_and_id","has_auth_and_id","has_write_method_and_id","has_upload_and_file","has_url_param_and_private_ip","has_role_and_admin_value"
"pos_luongvd_000107","1","exploitdb","xss","1","0","0","0","0","1","1","2","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","1","0","1","29","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"pos_modsec_learn_sqli_002161","1","modsec_learn_sqli","modsec_learn_sqli:sqli_kaggle","1","0","0","0","0","0","1","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","1","17","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"norm_legitimate_000084","0","openappsec_legitimate","normal","0","1","0","0","0","1","1","6","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"pos_malicious_002630","1","openappsec_malicious","traversal","1","0","0","0","0","0","1","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","20","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"norm_csic_002544","0","csic_2010","csic_normal","1","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"norm_modsec_learn_001085","0","modsec_learn_legitimate","modsec_learn_legitimate","1","0","0","0","0","0","1","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"norm_legitimate_002329","0","openappsec_legitimate","normal","1","0","0","0","0","3","1","3","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"norm_modsec_learn_002669","0","modsec_learn_legitimate","modsec_learn_legitimate","1","0","0","0","0","0","1","10","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","1","0","0","1","1","1","1","28","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"norm_legitimate_002224","0","openappsec_legitimate","normal","1","0","0","0","0","1","1","2","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"pos_owasp_modsec_000450","1","owasp_modsecurity","owasp_sqli:942100","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"norm_modsec_learn_000567","0","modsec_learn_legitimate","modsec_learn_legitimate","1","0","0","0","0","0","1","9","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","1","0","0","1","0","0","1","14","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"norm_legitimate_001925","0","openappsec_legitimate","normal","0","1","0","0","0","1","0","0","0","0","1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","1","1","0","1","0","0","0","0","1","0","0","1","0","0","0","0","1","0","0","0"
"pos_luongvd_001230","1","exploitdb","sqli","1","0","0","0","0","1","1","3","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"norm_legitimate_001607","0","openappsec_legitimate","normal","0","1","0","0","0","6","0","0","0","0","1","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","1","1","1","1","18","0","0","0","0","1","0","1","0","1","0","0","0","0","1","1","0","0","0","1","1","0","1","1","0","1","0","0","0","0","1","0","0","0"
"norm_legitimate_002527","0","openappsec_legitimate","normal","0","1","0","0","0","2","1","10","0","1","1","6","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","1","1","1","1","1","21","0","0","0","0","1","0","1","0","1","0","0","0","0","1","1","0","0","0","1","0","0","1","1","0","1","0","0","0","0","1","0","0","0"
"norm_modsec_learn_001883","0","modsec_learn_legitimate","modsec_learn_legitimate","1","0","0","0","0","0","1","4","3","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"norm_modsec_learn_000051","0","modsec_learn_legitimate","modsec_learn_legitimate","1","0","0","0","0","0","1","7","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","1","0","0","1","2","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"norm_csic_002271","0","csic_2010","csic_normal","1","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"pos_owasp_modsec_001856","1","owasp_modsecurity","owasp_lfi_rfi:920440","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"norm_modsec_learn_000438","0","modsec_learn_legitimate","modsec_learn_legitimate","1","0","0","0","0","0","1","5","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","1","0","0","1","0","0","1","11","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"pos_modsec_learn_sqli_001933","1","modsec_learn_sqli","modsec_learn_sqli:sqli_kaggle","1","0","0","0","0","0","1","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","1","36","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"norm_csic_000581","0","csic_2010","csic_normal","0","1","0","0","0","3","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"norm_csic_002734","0","csic_2010","csic_normal","1","0","0","0","0","3","1","5","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"pos_luongvd_001515","1","exploitdb","sqli","1","0","0","0","0","1","1","3","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"pos_csic_001199","1","csic_2010","csic_anomalous","0","1","0","0","0","3","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","15","0","0","0","0","1","0","0","0","1","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"norm_legitimate_001418","0","openappsec_legitimate","normal","0","1","0","0","0","3","0","0","0","0","1","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","1","1","0","1","0","0","0","0","1","1","1","1","0","0","0","0","1","0","0","0"
"norm_modsec_learn_002415","0","modsec_learn_legitimate","modsec_learn_legitimate","1","0","0","0","0","0","1","5","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","1","1","0","1","15","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"norm_legitimate_001784","0","openappsec_legitimate","normal","0","1","0","0","0","4","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","1","0","1","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0"
"pos_modsec_learn_sqli_000175","1","modsec_learn_sqli","modsec_learn_sqli:httpparams","1","0","0","0","0","0","1","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","1","34","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"pos_luongvd_000839","1","exploitdb","lfi","1","0","0","0","0","3","1","3","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","1","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"norm_legitimate_000565","0","openappsec_legitimate","normal","1","0","0","0","0","3","1","1","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"pos_modsec_learn_sqli_000488","1","modsec_learn_sqli","modsec_learn_sqli:httpparams","1","0","0","0","0","0","1","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","1","37","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"pos_owasp_modsec_000713","1","owasp_modsecurity","owasp_lfi_rfi:930130","1","0","0","0","0","3","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"norm_modsec_learn_001613","0","modsec_learn_legitimate","modsec_learn_legitimate","1","0","0","0","0","0","1","10","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"pos_csic_002070","1","csic_2010","csic_anomalous","1","0","0","0","0","3","1","10","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","1","3","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"norm_modsec_learn_002322","0","modsec_learn_legitimate","modsec_learn_legitimate","1","0","0","0","0","0","1","10","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"pos_owasp_modsec_000366","1","owasp_modsecurity","owasp_php_injection:933150","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"norm_modsec_learn_002168","0","modsec_learn_legitimate","modsec_learn_legitimate","1","0","0","0","0","0","1","10","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","1","1","0","1","34","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"pos_luongvd_000281","1","exploitdb","xss","0","1","0","0","0","2","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","1","30","0","0","0","0","1","0","0","0","1","0","1","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"norm_legitimate_000999","0","openappsec_legitimate","normal","0","1","0","0","0","4","1","10","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","1","1","0","1","3","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"norm_modsec_learn_001919","0","modsec_learn_legitimate","modsec_learn_legitimate","1","0","0","0","0","0","1","10","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","1","0","0","1","0","1","1","44","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"norm_modsec_learn_001651","0","modsec_learn_legitimate","modsec_learn_legitimate","1","0","0","0","0","0","1","10","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","1","1","1","1","48","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"norm_modsec_learn_002038","0","modsec_learn_legitimate","modsec_learn_legitimate","1","0","0","0","0","0","1","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"norm_csic_000122","0","csic_2010","csic_normal","1","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"norm_legitimate_000916","0","openappsec_legitimate","normal","1","0","0","0","0","4","1","10","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","1","0","1","1","1","0","1","4","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"norm_legitimate_001938","0","openappsec_legitimate","normal","1","0","0","0","0","6","1","3","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","1","0","0","1","8","0","0","0","0","1","0","1","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"pos_csic_000439","1","csic_2010","csic_anomalous","0","1","0","0","0","3","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"norm_modsec_learn_002228","0","modsec_learn_legitimate","modsec_learn_legitimate","1","0","0","0","0","0","1","10","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","1","1","1","1","33","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"norm_csic_000478","0","csic_2010","csic_normal","1","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"norm_legitimate_001602","0","openappsec_legitimate","normal","1","0","0","0","0","1","1","1","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"pos_modsec_learn_sqli_000259","1","modsec_learn_sqli","modsec_learn_sqli:httpparams","1","0","0","0","0","0","1","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","1","39","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"norm_legitimate_001247","0","openappsec_legitimate","normal","0","1","0","0","0","3","0","0","0","0","1","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","1","0","1","0","0","0","0","0","0","0","1","0","0","1","0","0","0","1","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0"
"norm_modsec_learn_002178","0","modsec_learn_legitimate","modsec_learn_legitimate","1","0","0","0","0","0","1","4","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","1","0","1","1","0","1","1","22","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"norm_csic_002260","0","csic_2010","csic_normal","1","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"norm_legitimate_001449","0","openappsec_legitimate","normal","1","0","0","0","0","1","1","10","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","1","1","0","1","17","0","0","0","0","0","0","1","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"pos_owasp_modsec_001006","1","owasp_modsecurity","owasp_php_injection:933150","1","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"norm_legitimate_001787","0","openappsec_legitimate","normal","0","1","0","0","0","4","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","1","0","1","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0"
"norm_modsec_learn_002032","0","modsec_learn_legitimate","modsec_learn_legitimate","1","0","0","0","0","0","1","4","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"norm_legitimate_002797","0","openappsec_legitimate","normal","0","1","0","0","0","1","0","0","0","0","1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","1","1","0","0","0","1","1","0","1","0","0","1","0","1","1","0","1","0","0","0","0","1","0","0","0"
"norm_modsec_learn_002617","0","modsec_learn_legitimate","modsec_learn_legitimate","1","0","0","0","0","0","1","3","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"pos_csic_000001","1","csic_2010","csic_anomalous","1","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"norm_legitimate_001564","0","openappsec_legitimate","normal","1","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"norm_csic_001013","0","csic_2010","csic_normal","1","0","0","0","0","3","1","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"norm_modsec_learn_002859","0","modsec_learn_legitimate","modsec_learn_legitimate","1","0","0","0","0","0","1","4","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"pos_malicious_002134","1","openappsec_malicious","sqli","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","1","33","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
